,S1Temp,S2Temp,S3Temp,S1Light,S2Light,S3Light,PIR1,PIR2,Persons,Overcrowded,Slope_CO2,Parts of the day
0,0.0,0.0,0.0,242,68,106,0,0,1,0,0.0,2
1,0.0,0.0,0.0,242,66,106,0,0,1,0,0.0,2
2,0.0,0.0,0.0,242,68,106,0,0,1,0,0.0,2
3,0.0,0.0,0.0,242,68,106,0,0,1,0,0.0,2
4,0.0,0.0,0.0,242,68,108,0,0,1,0,0.0,2
5,0.0,0.0,0.0,242,68,108,0,0,1,0,0.0,2
6,0.0,0.0,0.0,242,68,108,1,0,1,0,0.0,2
7,0.0,0.0,0.0,242,68,108,0,0,1,0,0.0,2
8,0.0,0.0,0.0,244,68,108,0,0,1,0,0.0,2
9,0.0,0.0,0.0,244,68,114,1,1,1,0,0.0,2
10,0.0,0.0,0.0,244,70,114,1,1,1,0,0.0,2
11,0.0,0.0,0.0,246,70,114,1,0,1,0,0.0,2
12,0.0,0.0,0.0,246,70,114,1,0,1,0,0.0,2
13,0.0,0.0,0.0,246,70,114,1,0,1,0,0.0,2
14,0.0,0.0,0.0,246,70,114,1,0,1,0,0.0,2
15,0.0,0.0,0.0,246,70,116,1,0,1,0,0.0,2
16,0.0,0.0,0.0,246,70,116,0,0,1,0,0.0,2
17,0.0,0.0,0.0,244,70,114,1,0,1,0,0.0,2
18,0.0,0.0,0.0,246,70,116,1,0,1,0,0.0,2
19,0.0,0.0,0.0,246,70,116,0,0,1,0,0.0,2
20,0.0,0.0,0.0,246,70,116,0,0,1,0,0.0,2
21,0.0,0.0,0.0,246,70,114,0,0,1,0,0.0,2
22,0.0,0.0,0.0,246,70,116,0,0,1,0,0.0,2
23,0.0,0.0,0.0,246,70,116,0,0,1,0,0.0,2
24,0.0,0.0,0.0,246,70,118,0,0,1,0,0.0,2
25,0.0,0.0,0.0,246,70,116,1,0,1,0,0.0,2
26,0.0,0.0,0.0,246,70,118,1,0,1,0,0.0,2
27,0.0,0.0,0.0,246,70,116,1,0,1,0,0.0,2
